DateTime,IsFoodFinished,WaterLevel,LightLevel,Temperature,UltraLevel,Remaining_Time
2020-10-18 20:50:00,0,556,77,40.57,60,0.0661111111111111
2020-10-18 20:50:01,0,556,72,13.2,60,0.06583333333333333
2020-10-18 20:50:03,0,557,79,14.66,60,0.06527777777777778
2020-10-18 20:50:04,0,555,64,13.2,60,0.065
2020-10-18 20:50:05,0,539,66,51.32,60,0.06472222222222222
2020-10-18 20:50:06,0,492,66,39.1,60,0.06444444444444444
2020-10-18 20:50:08,0,591,65,50.83,60,0.06388888888888888
2020-10-18 20:50:09,0,672,74,14.17,60,0.0636111111111111
2020-10-18 20:50:10,0,660,71,51.32,60,0.06333333333333334
2020-10-18 20:50:11,0,605,74,17.11,60,0.06305555555555556
2020-10-18 20:50:13,0,621,62,47.41,60,0.0625
2020-10-18 20:50:14,0,577,62,16.13,60,0.06222222222222222
2020-10-18 20:50:15,0,496,62,43.5,60,0.06194444444444445
2020-10-18 20:50:17,0,476,62,13.2,60,0.06138888888888889
2020-10-18 20:50:18,0,493,59,16.13,60,0.06111111111111111
2020-10-18 20:50:19,0,452,71,31.77,60,0.060833333333333336
2020-10-18 20:50:20,0,382,62,39.1,60,0.06055555555555556
2020-10-18 20:50:22,0,510,66,23.95,60,0.06
2020-10-18 20:50:23,0,427,70,15.64,60,0.059722222222222225
2020-10-18 20:50:24,0,365,67,24.93,60,0.059444444444444446
2020-10-18 20:50:28,0,328,70,19.06,60,0.058333333333333334
2020-10-18 20:50:42,0,307,75,20.04,60,0.05444444444444444
2020-10-18 20:50:43,0,301,79,23.95,60,0.05416666666666667
2020-10-18 20:50:44,0,299,83,23.95,60,0.05388888888888889
2020-10-18 20:50:46,0,293,85,26.88,60,0.05333333333333334
2020-10-18 20:50:47,0,288,85,24.93,60,0.05305555555555556
2020-10-18 20:50:48,0,283,72,23.46,60,0.05277777777777778
2020-10-18 20:50:49,0,282,69,24.93,60,0.0525
2020-10-18 20:50:53,0,273,78,21.02,60,0.05138888888888889
2020-10-18 20:51:38,0,132,71,24.93,60,0.03888888888888889
2020-10-18 20:51:40,0,125,72,24.44,60,0.03833333333333333
2020-10-18 20:51:41,0,123,72,24.93,60,0.03805555555555556
2020-10-18 20:51:42,0,121,72,24.93,60,0.03777777777777778
2020-10-18 20:51:44,0,127,75,26.39,60,0.03722222222222222
2020-10-18 20:51:45,0,115,72,24.93,60,0.036944444444444446
2020-10-18 20:51:46,0,114,79,24.93,60,0.03666666666666667
2020-10-18 20:51:47,0,111,79,26.39,60,0.03638888888888889
2020-10-18 20:51:49,0,116,71,26.39,60,0.035833333333333335
2020-10-18 20:51:50,0,111,71,24.93,60,0.035555555555555556
2020-10-18 20:51:51,0,104,71,31.28,60,0.035277777777777776
2020-10-18 20:51:52,0,102,72,24.93,60,0.035
2020-10-18 20:51:54,0,102,71,24.93,60,0.034444444444444444
2020-10-18 20:51:55,0,105,71,24.93,60,0.034166666666666665
2020-10-18 20:51:56,0,96,75,24.44,60,0.03388888888888889
2020-10-18 20:51:58,0,94,72,24.93,60,0.03333333333333333
2020-10-18 20:51:59,0,92,79,24.93,60,0.03305555555555555
2020-10-18 20:52:00,0,91,74,24.44,60,0.03277777777777778
2020-10-18 20:52:01,0,89,69,23.95,60,0.0325
2020-10-18 20:52:03,0,88,71,24.44,60,0.03194444444444444
2020-10-18 20:52:04,0,88,78,24.44,60,0.03166666666666667
2020-10-18 20:52:05,0,86,68,24.93,60,0.03138888888888889
2020-10-18 20:52:06,0,86,78,23.95,60,0.03111111111111111
2020-10-18 20:52:08,0,88,66,24.44,60,0.030555555555555555
2020-10-18 20:52:09,0,84,67,24.93,60,0.03027777777777778
2020-10-18 20:53:53,0,27,230,28.84,60,0.001388888888888889
2020-10-18 20:53:55,0,28,231,24.44,60,0.0008333333333333334
2020-10-18 20:53:56,0,30,229,24.44,60,0.0005555555555555556
2020-10-18 20:53:57,0,27,307,27.37,60,0.0008333333333333334
2020-10-18 20:53:58,1,29,643,24.93,60,0.0008333333333333334
2020-10-18 20:54:00,1,39,638,25.42,60,0.0005555555555555556
2020-10-18 20:54:01,1,27,637,25.9,60,0.0005555555555555556
